evidence_id,paper_id,title,year,paper_type,original_sentence,extracted_claim,independent_variable,dependent_variable,moderating_variables,controlled_variables,mechanism,fatigue_indicator,equation_or_model,parameter_values,experimental_method,characterization_method,evidence_type,evidence_strength,direct_or_indirect,is_conflicting,notes,phenomenon,material,process,build_orientation,heat_treatment,surface_state,surface_roughness_Ra,surface_roughness_Rz,stress_ratio_R,stress_amplitude,fatigue_type,frequency,temperature,environment,sample_geometry,pore_size,sqrt_area,distance_to_surface,pore_location,pore_aspect_ratio,porosity,defect_type,testing_method,condition_boundary,missing_condition_fields,creation_time,source_field,usable_for_validation
EV_LPBF_0001_0000,LPBF_0001,A Review of the Fatigue Properties of Additively Manufactured Ti-6Al-4V,2018,review,A Review of the Fatigue Properties of Additively Manufactured Ti-6Al-4V,在 Ti-6Al-4V 条件下，Review paper summarizing fatigue behavior of L-PBF Ti-6Al-4V。,,,,material=Ti-6Al-4V; process=,,,,,,,review_statement,low,indirect,,Auto-extracted from title/folder classification (reviews),,Ti-6Al-4V,,,,,,,,,,,,,,,,,,,,,,,process; surface_state; heat_treatment; stress_ratio_R; fatigue_type; surface_roughness_Ra,2026-07-22T03:15:46.154093,title_classification,False
EV_LPBF_0002_0000,LPBF_0002,Additive manufacturing of fatigue resistant materials: Challenges and opportunities,2017,review,Additive manufacturing of fatigue resistant materials: Challenges and opportunities,在 Ti-6Al-4V 条件下，Review paper summarizing fatigue behavior of L-PBF Ti-6Al-4V。,,,,material=Ti-6Al-4V; process=,,,,,,,review_statement,low,indirect,,Auto-extracted from title/folder classification (reviews),,Ti-6Al-4V,,,,,,,,,,,,,,,,,,,,,,,process; surface_state; heat_treatment; stress_ratio_R; fatigue_type; surface_roughness_Ra,2026-07-22T03:15:46.154093,title_classification,False
EV_LPBF_0003_0000,LPBF_0003,Impact of surface and pore characteristics on fatigue life of laser powder bed fusion Ti–6Al–4V alloy described by neural network models,2021,pore_fatigue_life,Impact of surface and pore characteristics on fatigue life of laser powder bed fusion Ti–6Al–4V alloy described by neural network models,在 Ti-6Al-4V 条件下，Paper investigates relationship between pore/defect characteristics and fatigue life of L-PBF Ti-6Al-4V，通过孔隙边缘的局部应力集中效应。,pore_size,Nf_life,,material=Ti-6Al-4V; process=,stress_concentration_at_pores,Nf_life,,,,,direct_experimental_evidence,moderate,direct,,Auto-extracted from title/folder classification (pore_fatigue_life),,Ti-6Al-4V,,,,,,,,,,,,,,,,,,,,,,"条件: , ",process; surface_state; heat_treatment; stress_ratio_R; fatigue_type; surface_roughness_Ra,2026-07-22T03:15:46.154093,title_classification,True
EV_LPBF_0003_0001,LPBF_0003,Impact of surface and pore characteristics on fatigue life of laser powder bed fusion Ti–6Al–4V alloy described by neural network models,2021,pore_fatigue_life,Impact of surface and pore characteristics on fatigue life of laser powder bed fusion Ti–6Al–4V alloy described by neural network models,在 Ti-6Al-4V 条件下，Paper examines effect of pore location/distribution on crack initiation，通过缺陷处应力集中主导裂纹起裂。,pore_location,crack_initiation_site,,material=Ti-6Al-4V; process=,crack_initiation_from_defects,crack_initiation_site,,,,,direct_experimental_evidence,moderate,direct,,Auto-extracted from title/folder classification (pore_fatigue_life),,Ti-6Al-4V,,,,,,,,,,,,,,,,,,,,,,"实验条件: Ti-6Al-4V, , 表面状态: , 热处理: , 应力比 R: , 疲劳类型: ",process; surface_state; heat_treatment; stress_ratio_R; fatigue_type; surface_roughness_Ra,2026-07-22T03:15:46.154093,title_classification,True
EV_LPBF_0004_0000,LPBF_0004,Effects of Defects in Laser Additive Manufactured Ti-6Al-4V on Fatigue Properties,2014,pore_fatigue_life,Effects of Defects in Laser Additive Manufactured Ti-6Al-4V on Fatigue Properties,在 Ti-6Al-4V 条件下，Paper investigates relationship between pore/defect characteristics and fatigue life of L-PBF Ti-6Al-4V，通过孔隙边缘的局部应力集中效应。,pore_size,Nf_life,,material=Ti-6Al-4V; process=,stress_concentration_at_pores,Nf_life,,,,,direct_experimental_evidence,moderate,direct,,Auto-extracted from title/folder classification (pore_fatigue_life),,Ti-6Al-4V,,,,,,,,,,,,,,,,,,,,,,"条件: , ",process; surface_state; heat_treatment; stress_ratio_R; fatigue_type; surface_roughness_Ra,2026-07-22T03:15:46.154093,title_classification,True
EV_LPBF_0004_0001,LPBF_0004,Effects of Defects in Laser Additive Manufactured Ti-6Al-4V on Fatigue Properties,2014,pore_fatigue_life,Effects of Defects in Laser Additive Manufactured Ti-6Al-4V on Fatigue Properties,在 Ti-6Al-4V 条件下，Paper examines effect of pore location/distribution on crack initiation，通过缺陷处应力集中主导裂纹起裂。,pore_location,crack_initiation_site,,material=Ti-6Al-4V; process=,crack_initiation_from_defects,crack_initiation_site,,,,,direct_experimental_evidence,moderate,direct,,Auto-extracted from title/folder classification (pore_fatigue_life),,Ti-6Al-4V,,,,,,,,,,,,,,,,,,,,,,"实验条件: Ti-6Al-4V, , 表面状态: , 热处理: , 应力比 R: , 疲劳类型: ",process; surface_state; heat_treatment; stress_ratio_R; fatigue_type; surface_roughness_Ra,2026-07-22T03:15:46.154093,title_classification,True
EV_LPBF_0005_0000,LPBF_0005,Fatigue life prediction for LPBF-fabricated Ti-6Al-4V up to very-high-cycle regime based on continuum damage mechanics incorporating effect of defects,2023,pore_fatigue_life,Fatigue life prediction for LPBF-fabricated Ti-6Al-4V up to very-high-cycle regime based on continuum damage mechanics incorporating effect of defects,在 Ti-6Al-4V 条件下，Paper investigates relationship between pore/defect characteristics and fatigue life of L-PBF Ti-6Al-4V，通过孔隙边缘的局部应力集中效应。,pore_size,Nf_life,,material=Ti-6Al-4V; process=,stress_concentration_at_pores,Nf_life,,,,,direct_experimental_evidence,moderate,direct,,Auto-extracted from title/folder classification (pore_fatigue_life),,Ti-6Al-4V,,,,,,,,,,,,,,,,,,,,,,"条件: , ",process; surface_state; heat_treatment; stress_ratio_R; fatigue_type; surface_roughness_Ra,2026-07-22T03:15:46.154093,title_classification,True
EV_LPBF_0005_0001,LPBF_0005,Fatigue life prediction for LPBF-fabricated Ti-6Al-4V up to very-high-cycle regime based on continuum damage mechanics incorporating effect of defects,2023,pore_fatigue_life,Fatigue life prediction for LPBF-fabricated Ti-6Al-4V up to very-high-cycle regime based on continuum damage mechanics incorporating effect of defects,在 Ti-6Al-4V 条件下，Paper examines effect of pore location/distribution on crack initiation，通过缺陷处应力集中主导裂纹起裂。,pore_location,crack_initiation_site,,material=Ti-6Al-4V; process=,crack_initiation_from_defects,crack_initiation_site,,,,,direct_experimental_evidence,moderate,direct,,Auto-extracted from title/folder classification (pore_fatigue_life),,Ti-6Al-4V,,,,,,,,,,,,,,,,,,,,,,"实验条件: Ti-6Al-4V, , 表面状态: , 热处理: , 应力比 R: , 疲劳类型: ",process; surface_state; heat_treatment; stress_ratio_R; fatigue_type; surface_roughness_Ra,2026-07-22T03:15:46.154093,title_classification,True
EV_LPBF_0006_0000,LPBF_0006,Fatigue Performance of Laser Additive Manufactured Ti–6Al–4V in Very High Cycle Fatigue Regime up to 109 Cycles,2015,pore_fatigue_life,Fatigue Performance of Laser Additive Manufactured Ti–6Al–4V in Very High Cycle Fatigue Regime up to 109 Cycles,在 Ti-6Al-4V 条件下，Paper investigates relationship between pore/defect characteristics and fatigue life of L-PBF Ti-6Al-4V，通过孔隙边缘的局部应力集中效应。,pore_size,Nf_life,,material=Ti-6Al-4V; process=,stress_concentration_at_pores,Nf_life,,,,,direct_experimental_evidence,moderate,direct,,Auto-extracted from title/folder classification (pore_fatigue_life),,Ti-6Al-4V,,,,,,,,,,,,,,,,,,,,,,"条件: , ",process; surface_state; heat_treatment; stress_ratio_R; fatigue_type; surface_roughness_Ra,2026-07-22T03:15:46.154093,title_classification,True
EV_LPBF_0006_0001,LPBF_0006,Fatigue Performance of Laser Additive Manufactured Ti–6Al–4V in Very High Cycle Fatigue Regime up to 109 Cycles,2015,pore_fatigue_life,Fatigue Performance of Laser Additive Manufactured Ti–6Al–4V in Very High Cycle Fatigue Regime up to 109 Cycles,在 Ti-6Al-4V 条件下，Paper examines effect of pore location/distribution on crack initiation，通过缺陷处应力集中主导裂纹起裂。,pore_location,crack_initiation_site,,material=Ti-6Al-4V; process=,crack_initiation_from_defects,crack_initiation_site,,,,,direct_experimental_evidence,moderate,direct,,Auto-extracted from title/folder classification (pore_fatigue_life),,Ti-6Al-4V,,,,,,,,,,,,,,,,,,,,,,"实验条件: Ti-6Al-4V, , 表面状态: , 热处理: , 应力比 R: , 疲劳类型: ",process; surface_state; heat_treatment; stress_ratio_R; fatigue_type; surface_roughness_Ra,2026-07-22T03:15:46.154093,title_classification,True
